squirrel_id,latitude,longitude,year,month,day
36G-PM-1012-01,40.7933537584624,-73.9549082481152,2018,10,12
21F-PM-1018-03,40.7815445841195,-73.9643825381614,2018,10,18
21H-AM-1017-02,40.7811302397912,-73.9625416200877,2018,10,17
22F-AM-1007-02,40.782693848993,-73.9638526062093,2018,10,7
15F-AM-1007-02,40.776599466588,-73.9685227310735,2018,10,7
13D-PM-1018-09,40.776085913838,-73.9721670042434,2018,10,18
3B-AM-1010-01,40.7688272492961,-73.9792153893146,2018,10,10
40B-PM-1014-01,40.7985734105729,-73.9573057686241,2018,10,14
41A-PM-1007-03,40.7992194575293,-73.9581982486469,2018,10,7
3I-PM-1013-05,40.7659131865172,-73.972467515471,2018,10,13
33C-AM-1012-02,40.7924082330328,-73.9615402629655,2018,10,12
9B-PM-1013-04,40.773624164826,-73.9756972647636,2018,10,13
1C-AM-1012-01,40.7671499997527,-73.9799441493404,2018,10,12
3F-AM-1006-09,40.7673618284782,-73.9745227769788,2018,10,6
22D-PM-1012-05,40.7833659689194,-73.9659549963516,2018,10,12
5C-PM-1010-10,40.7704671295941,-73.9763622269272,2018,10,10
9G-PM-1007-05,40.7717074044466,-73.9706360005275,2018,10,7
1D-PM-1007-03,40.7668300056094,-73.9783366903829,2018,10,7
35A-AM-1014-06,40.7945126358465,-73.9622047677701,2018,10,14
42I-PM-1014-03,40.796517007214,-73.9497217674555,2018,10,14
10B-PM-1014-03,40.7743391883762,-73.9750992564362,2018,10,14
41D-PM-1014-01,40.7980460204041,-73.9556218199258,2018,10,14
35A-PM-1013-12,40.7950033150385,-73.9612398509782,2018,10,13
2C-PM-1013-08,40.7685079149692,-73.9789126088606,2018,10,13
22F-AM-1007-07,40.7827698220703,-73.9646597452128,2018,10,7
6A-AM-1006-04,40.7717086090782,-73.97826438139,2018,10,6
6A-PM-1012-05,40.7718260288338,-73.9785133301426,2018,10,12
37G-PM-1007-03,40.7943086530436,-73.9543323786888,2018,10,7
13D-PM-1018-13,40.7760942872488,-73.9712256765283,2018,10,18
14B-PM-1014-06,40.7781916780621,-73.9727488640736,2018,10,14
7E-PM-1013-05,40.7707167671865,-73.9742804552383,2018,10,13
9A-AM-1013-11,40.7743883576247,-73.9769319450348,2018,10,13
11D-AM-1010-06,40.7748300991287,-73.9718270820347,2018,10,10
1A-PM-1014-02,40.7682921842325,-73.9808202088503,2018,10,14
42G-PM-1014-01,40.7976985385835,-73.9522291603405,2018,10,14
9I-PM-1010-07,40.7709413567859,-73.9685751595485,2018,10,10
37G-PM-1007-04,40.794201225045,-73.9540908513075,2018,10,7
35E-AM-1020-03,40.7934570294469,-73.9573930079918,2018,10,20
8F-PM-1012-01,40.7715726159383,-73.9717580228664,2018,10,12
29C-AM-1007-03,40.789133072717,-73.9629420113622,2018,10,7
12G-PM-1007-05,40.7737911559867,-73.9688466874605,2018,10,7
18H-PM-1014-03,40.7779692777193,-73.9642411990432,2018,10,14
15I-AM-1008-02,40.7758743113817,-73.9653279069888,2018,10,8
42C-AM-1007-04,40.7990928062435,-73.9556937218252,2018,10,7
5C-PM-1010-04,40.7707561532949,-73.9769887473852,2018,10,10
14I-PM-1018-06,40.7752614638023,-73.9655905300923,2018,10,18
9B-PM-1013-01,40.7738879545412,-73.9754836796706,2018,10,13
31D-AM-1014-02,40.7909351393505,-73.9613051957306,2018,10,14
5C-PM-1010-11,40.770606513989,-73.9764235373322,2018,10,10
16C-AM-1014-04,40.7787503220242,-73.9705053821577,2018,10,14
5D-PM-1018-04,40.770281512254,-73.9763791121438,2018,10,18
36B-PM-1013-03,40.7952466761832,-73.9600165785486,2018,10,13
40C-AM-1017-02,40.7980080911115,-73.9573724133264,2018,10,17
28I-AM-1013-01,40.7855654405447,-73.9580109357087,2018,10,13
38F-AM-1018-04,40.7950157489103,-73.9548877830136,2018,10,18
