squirrel_id,primary_colour,black,cinnamon,gray,white
3E-PM-1008-07,Gray,False,True,False,False
14F-AM-1007-05,Gray,False,True,False,False
6I-PM-1013-06,Gray,False,True,False,False
8B-PM-1012-02,Gray,False,True,False,True
3A-PM-1017-06,Gray,False,True,False,False
36I-AM-1017-02,Gray,False,True,False,False
5E-AM-1008-06,Cinnamon,False,False,False,True
5F-PM-1007-03,Gray,False,True,False,False
16E-PM-1018-06,Cinnamon,False,False,True,False
13F-AM-1007-02,Cinnamon,False,False,False,True
20B-PM-1013-10,Gray,False,False,False,True
3A-PM-1017-05,Gray,False,True,False,False
33C-PM-1007-03,Gray,False,False,False,True
38G-PM-1020-09,Gray,False,True,False,True
16G-PM-1017-01,Gray,False,True,False,True
35A-AM-1014-03,Gray,False,False,False,True
28C-PM-1006-01,Gray,False,True,False,False
22A-AM-1008-05,Gray,False,False,False,True
40B-PM-1014-06,Gray,False,True,False,False
19C-PM-1018-01,Gray,False,False,False,True
15G-PM-1019-05,Gray,False,True,False,False
42E-PM-1012-06,Cinnamon,False,False,True,True
5A-AM-1006-05,Gray,False,True,False,False
41D-AM-1014-01,Gray,True,False,False,False
21G-PM-1007-01,Gray,False,True,False,False
22F-AM-1007-01,Gray,False,True,False,False
38F-PM-1013-05,Gray,False,True,False,False
41B-PM-1014-01,Gray,False,False,False,True
5C-AM-1006-05,Gray,False,True,False,True
31A-PM-1017-04,Gray,False,False,False,True
42G-AM-1018-03,Gray,False,True,False,False
37E-PM-1006-03,Gray,False,True,False,False
37E-PM-1006-03,Gray,False,True,False,False
37E-PM-1006-03,Gray,False,True,False,False
37E-PM-1006-03,Gray,False,True,False,False
5C-PM-1010-13,Gray,False,False,False,True
15I-AM-1008-01,Gray,False,True,False,False
19B-PM-1018-01,Gray,True,True,False,True
13D-PM-1018-10,Gray,False,True,False,True
36I-PM-1007-10,Gray,False,False,False,True
41B-AM-1010-06,Gray,False,True,False,True
40D-PM-1013-01,Gray,False,True,False,False
38B-PM-1018-02,Gray,False,True,False,True
13D-AM-1014-08,Gray,False,True,False,False
16G-AM-1010-03,Gray,False,False,False,True
40A-AM-1010-03,Gray,False,True,False,False
10B-PM-1014-05,Gray,False,False,False,True
2F-AM-1006-05,Gray,False,True,False,True
20B-AM-1007-01,Gray,False,True,False,False
26A-PM-1006-06,Gray,False,True,False,False
11G-PM-1013-01,Gray,False,True,False,False
36I-PM-1007-13,Gray,False,True,False,False
7A-AM-1006-01,Gray,False,False,False,True
3D-PM-1010-03,Cinnamon,False,False,False,True
35D-PM-1013-09,Gray,False,False,False,True
18G-PM-1013-01,Gray,False,False,False,True
6F-PM-1008-01,Gray,False,True,False,False
9F-AM-1013-04,Gray,False,True,False,False
38E-AM-1010-09,Gray,False,True,False,False
39G-AM-1018-01,Gray,False,True,False,False
32G-PM-1013-03,Gray,False,True,False,False
4D-PM-1008-11,Cinnamon,False,False,True,True
6H-AM-1008-01,Cinnamon,False,False,True,True
15D-PM-1017-01,Gray,False,True,False,False
16E-AM-1014-03,Gray,False,True,False,False
39H-PM-1013-02,Gray,False,True,False,True
31A-AM-1010-04,Gray,False,False,False,True
9F-PM-1014-02,Gray,False,True,False,False
2F-AM-1006-01,Gray,False,True,False,False
20F-PM-1007-01,Gray,False,True,False,False
35E-PM-1006-01,Gray,False,True,False,True
9G-AM-1007-04,Gray,False,False,False,True
5D-PM-1018-03,Gray,False,False,False,True
14F-PM-1012-06,Cinnamon,False,False,True,True
23F-AM-1018-01,Cinnamon,False,False,True,False
39A-PM-1014-02,Gray,False,False,False,True
13A-PM-1014-03,Gray,False,True,False,False
10B-AM-1006-02,Gray,False,True,False,False
38B-AM-1019-01,Gray,False,False,False,True
40B-AM-1019-02,Gray,False,False,False,True
35D-PM-1013-04,Gray,False,False,False,True
19C-PM-1018-04,Gray,False,True,False,False
10F-PM-1019-12,Black,False,False,False,True
40E-AM-1014-02,Gray,False,False,False,True
19B-AM-1019-02,Gray,False,True,False,True
41B-AM-1010-07,Cinnamon,False,False,True,True
4G-AM-1006-02,Gray,False,False,False,True
