squirrel_id,latitude,longitude
9C-PM-1006-07,40.7731515721826,-73.9744080700098
7F-PM-1012-03,40.7707862446236,-73.9726598256924
33H-AM-1019-01,40.7902127690837,-73.956581233786
12F-AM-1020-03,40.7743071443959,-73.9698592838836
42F-AM-1019-02,40.7983069118579,-73.9530811255728
10D-AM-1008-02,40.7741768291642,-73.9729265300533
18H-PM-1014-02,40.7780374890066,-73.964593167562
39E-AM-1018-01,40.7958147673603,-73.955258162768
15B-PM-1017-03,40.7788217771475,-73.9726236083428
18I-PM-1007-05,40.7775831570186,-73.9636482556874
16E-AM-1014-06,40.7779688294172,-73.9688070760806
9C-PM-1006-04,40.7731945258327,-73.9747873899653
20A-AM-1010-01,40.7832060751268,-73.970595860252
16E-PM-1018-10,40.7778593393957,-73.9689554458632
1C-AM-1012-02,40.7674495540569,-73.9794118234651
16E-AM-1014-05,40.7778035516486,-73.9686358129525
28D-AM-1012-01,40.7885494057193,-73.9631005470369
14A-PM-1014-08,40.7786318041581,-73.9735833104203
14H-PM-1012-03,40.7753462013506,-73.9670432105975
3C-AM-1007-01,40.7688122603932,-73.9784872728213
32E-AM-1007-04,40.790707423031,-73.9597260014375
32B-PM-1010-03,40.7921270121312,-73.9632164738341
34A-PM-1013-05,40.7944058222814,-73.9621297946132
1H-PM-1013-02,40.7653097139415,-73.9734630412566
42G-PM-1014-02,40.7974407641075,-73.9517525111679
1G-AM-1006-04,40.7655415515908,-73.9745152462626
9A-AM-1013-12,40.7744487310786,-73.9768563402344
16H-PM-1014-01,40.776502470347,-73.9657391918196
14D-AM-1014-01,40.7773706575356,-73.9703421391442
21C-AM-1014-05,40.7830263908749,-73.9672160533827
21D-AM-1008-05,40.7823874581829,-73.9672152696834
9F-AM-1013-03,40.7717400139502,-73.9714653576023
20F-PM-1007-13,40.7805932882407,-73.9650120066074
3E-AM-1006-03,40.7676376977667,-73.9767953468937
14B-PM-1014-08,40.7781330751738,-73.9730926233232
13E-AM-1017-13,40.7758494849673,-73.9705837974358
32D-PM-1006-06,40.7915035010169,-73.9604599477345
1A-PM-1014-05,40.7683223242143,-73.9809876538513
7H-AM-1006-14,40.7701079697795,-73.97033289562
21G-AM-1014-05,40.7809127228847,-73.963911430308
22H-PM-1007-01,40.7812134517411,-73.962534856258
5F-AM-1007-05,40.7693162287509,-73.9739403850622
6E-PM-1010-03,40.7700650799886,-73.974515099169
32D-PM-1006-02,40.7909769801241,-73.9601215198114
39F-AM-1014-03,40.7956074663106,-73.9545225586988
18G-AM-1014-02,40.7785279064847,-73.9651206201297
2B-PM-1013-08,40.7685934093915,-73.9790980124501
4D-PM-1008-04,40.7689551413337,-73.9763719445827
40A-PM-1014-05,40.7986549251083,-73.9585862117341
12H-PM-1007-03,40.7742119240825,-73.9677474313377
28B-PM-1010-01,40.7890427851106,-73.9654741695628
1G-PM-1010-03,40.7653888351839,-73.9747313152152
10B-PM-1014-04,40.7745023355775,-73.9747963162162
5F-PM-1007-04,40.7688712771191,-73.9736238258579
11H-AM-1010-08,40.7735903424522,-73.9687020800791
4D-PM-1008-10,40.7689323691424,-73.9767389132988
13D-AM-1014-09,40.7762719619467,-73.9713257586372
40A-AM-1010-02,40.7991850180434,-73.9587236619579
29A-AM-1013-01,40.7901338748522,-73.9654409838612
18I-PM-1007-04,40.7778921302618,-73.9639801411692
6C-PM-1020-01,40.7708879215854,-73.9766693184436
38D-AM-1017-06,40.7959934459432,-73.9575791421589
33E-AM-1014-01,40.7917871123534,-73.959412243507
11D-AM-1010-08,40.7744163768061,-73.9724083320538
41B-AM-1010-01,40.7992010012653,-73.9580681648547
20B-PM-1013-09,40.7829120321438,-73.9688817006443
35E-AM-1020-02,40.7934443866725,-73.9571808775915
9F-PM-1014-06,40.771760114722,-73.9716414586381
1B-AM-1012-04,40.7677782585639,-73.9800094828465
21B-PM-1017-04,40.7839613907139,-73.9689586689061
3I-PM-1013-03,40.7660503188637,-73.9721159387757
8B-PM-1012-07,40.7733537881363,-73.9756533763813
31A-PM-1017-01,40.7917565604735,-73.9643538221947
4F-PM-1013-03,40.7687654196811,-73.9746063250438
40C-AM-1017-04,40.7985706143519,-73.9570722262693
25B-PM-1007-01,40.7870781042595,-73.9668442742942
35A-PM-1013-01,40.7944667974974,-73.9619735385483
11B-AM-1007-01,40.7755376979002,-73.9752079247419
10E-AM-1010-02,40.773080463452,-73.972415182837
12G-AM-1012-04,40.7738958027568,-73.9688293382172
1D-PM-1007-01,40.7668485329273,-73.9775592228416
6H-PM-1020-01,40.7689827824241,-73.9710991846972
12F-PM-1007-09,40.773999710413,-73.9698663926657
36I-PM-1007-08,40.7922056218325,-73.9528482858163
33C-PM-1007-04,40.7921803313341,-73.9616141152539
42H-PM-1014-04,40.7976543603953,-73.9503533343658
21D-PM-1008-02,40.7823880671728,-73.9675637870968
