squirrel_id,approaches,indifferent,runs_from,watching
9C-PM-1006-01,False,False,True,True
35A-AM-1014-04,False,True,False,True
16B-AM-1014-01,False,False,True,True
11A-PM-1013-01,False,True,False,False
38E-AM-1010-07,False,False,True,False
36G-PM-1012-01,False,False,False,False
21F-PM-1018-03,False,False,False,True
21H-AM-1017-02,False,False,True,True
22F-AM-1007-02,False,True,False,False
15F-AM-1007-02,False,False,True,True
13D-PM-1018-09,False,True,False,True
3B-AM-1010-01,False,True,False,True
40B-PM-1014-01,False,True,False,True
41A-PM-1007-03,False,False,False,True
3I-PM-1013-05,False,True,False,True
33C-AM-1012-02,False,True,False,True
9B-PM-1013-04,False,True,False,True
1C-AM-1012-01,False,False,True,True
3F-AM-1006-09,False,True,False,True
22D-PM-1012-05,False,True,False,True
5C-PM-1010-10,True,False,False,True
9G-PM-1007-05,False,False,True,True
1D-PM-1007-03,False,True,False,True
35A-AM-1014-06,False,True,False,True
42I-PM-1014-03,False,True,False,True
10B-PM-1014-03,False,False,False,True
41D-PM-1014-01,False,False,True,False
35A-PM-1013-12,False,False,True,True
2C-PM-1013-08,True,False,False,True
22F-AM-1007-07,False,False,False,True
6A-AM-1006-04,False,False,False,True
6A-PM-1012-05,False,False,False,True
37G-PM-1007-03,False,False,False,False
13D-PM-1018-13,False,True,False,False
14B-PM-1014-06,True,False,False,True
7E-PM-1013-05,False,True,False,True
9A-AM-1013-11,False,True,False,True
11D-AM-1010-06,False,True,False,True
1A-PM-1014-02,False,False,False,True
42G-PM-1014-01,False,False,True,True
9I-PM-1010-07,False,False,True,True
37G-PM-1007-04,False,False,False,True
35E-AM-1020-03,False,True,False,True
8F-PM-1012-01,False,False,False,True
29C-AM-1007-03,False,False,True,True
12G-PM-1007-05,False,False,False,True
18H-PM-1014-03,False,True,False,True
15I-AM-1008-02,False,False,True,True
42C-AM-1007-04,False,True,False,False
5C-PM-1010-04,False,True,False,True
14I-PM-1018-06,False,True,False,True
9B-PM-1013-01,False,True,False,False
31D-AM-1014-02,False,False,True,True
5C-PM-1010-11,False,False,False,True
16C-AM-1014-04,False,True,False,True
5D-PM-1018-04,False,False,True,False
36B-PM-1013-03,False,False,True,True
40C-AM-1017-02,False,False,True,False
28I-AM-1013-01,False,False,True,False
38F-AM-1018-04,False,False,False,True
26A-AM-1014-01,False,False,False,True
17F-PM-1020-04,False,False,False,True
11A-PM-1013-03,False,True,False,True
6A-PM-1012-07,False,True,False,True
17A-AM-1017-01,False,False,True,True
40C-AM-1017-07,False,True,False,False
8A-PM-1014-01,False,False,True,True
13C-PM-1019-05,True,True,False,True
41E-PM-1013-05,False,False,False,True
3H-AM-1008-05,False,False,False,True
40E-AM-1014-03,False,True,False,True
2A-AM-1010-02,False,False,True,True
3A-PM-1017-03,True,False,False,True
9A-AM-1013-04,False,False,False,True
9E-PM-1014-02,False,True,False,True
14G-AM-1012-02,False,True,False,True
38D-AM-1017-03,False,False,False,False
22F-AM-1007-03,False,True,False,True
3H-PM-1014-07,False,True,False,True
28D-AM-1012-04,False,False,True,True
1B-AM-1012-10,True,False,False,True
32D-PM-1006-04,False,True,False,True
34E-PM-1006-01,False,True,False,True
2D-AM-1007-01,False,False,False,True
3A-PM-1017-08,True,False,False,True
4C-PM-1010-11,False,False,False,True
40E-PM-1017-02,False,True,False,True
38E-AM-1010-02,False,False,False,True
32I-AM-1013-04,False,True,False,True
19F-PM-1017-06,True,False,False,True
13E-AM-1017-11,False,False,True,True
14F-PM-1012-07,False,True,False,True
19F-AM-1007-01,False,True,False,True
37C-PM-1013-01,False,True,False,True
13E-PM-1008-05,False,True,False,True
26I-PM-1010-04,True,False,False,True
16D-AM-1007-02,False,True,False,True
13G-PM-1008-03,False,True,False,True
7H-PM-1006-05,False,False,True,True
32F-AM-1012-03,False,False,False,False
42H-AM-1019-01,False,False,False,True
21G-AM-1014-03,False,True,False,True
38D-AM-1017-05,False,False,True,False
2C-AM-1010-09,False,False,False,True
3D-PM-1010-01,False,False,False,True
35F-PM-1012-01,False,True,True,True
9H-PM-1018-01,False,True,False,True
7E-AM-1006-06,True,False,False,True
40C-AM-1017-06,False,False,True,True
14F-AM-1007-03,False,True,False,True
4D-PM-1008-14,False,True,False,True
5E-AM-1008-03,False,False,False,True
15H-PM-1008-07,False,True,False,True
30C-AM-1014-01,False,True,False,True
19E-PM-1018-01,False,False,True,True
8D-AM-1007-07,False,False,False,True
19F-PM-1017-03,True,False,False,True
14F-AM-1007-06,False,True,False,True
14A-PM-1014-06,False,False,True,True
21G-PM-1007-04,False,False,True,True
32D-PM-1006-03,False,True,False,True
4C-PM-1010-15,False,True,False,False
17D-AM-1008-02,False,False,True,True
8B-AM-1007-01,False,True,False,True
14D-AM-1014-11,False,True,False,True
9F-PM-1014-05,False,True,False,True
20F-AM-1014-01,False,True,False,True
10F-PM-1019-06,False,True,False,True
4H-AM-1006-02,True,False,True,False
33F-PM-1012-06,False,False,False,True
3B-PM-1007-10,False,True,False,False
2E-PM-1014-02,False,True,False,True
36F-AM-1017-04,True,False,True,True
16G-AM-1010-02,False,True,False,True
3F-PM-1013-03,False,True,False,True
15D-AM-1007-07,False,True,False,False
9A-PM-1010-03,False,False,False,True
4C-AM-1006-02,False,True,False,True
12E-AM-1017-08,False,True,False,False
18A-AM-1012-02,False,False,True,False
8C-PM-1013-07,False,True,False,True
23B-PM-1012-02,False,False,True,False
6B-PM-1017-06,False,False,False,True
23B-PM-1012-05,False,True,False,True
20F-AM-1014-02,False,False,False,False
11D-AM-1010-01,False,False,True,True
9B-AM-1010-01,False,False,True,True
33E-PM-1012-07,False,False,False,True
31H-PM-1008-01,False,True,False,True
31E-PM-1006-01,False,True,False,True
14F-PM-1012-02,False,True,False,True
10C-PM-1013-02,False,True,True,True
22C-PM-1006-06,False,False,False,True
35G-AM-1007-01,False,True,False,True
16C-PM-1018-01,False,False,False,True
22F-PM-1014-03,False,True,False,True
36I-AM-1017-03,False,True,False,True
2I-PM-1006-02,False,True,False,True
12G-AM-1012-01,False,True,False,True
25A-PM-1007-01,False,False,False,True
9C-PM-1006-06,False,True,False,True
6B-PM-1017-03,False,False,True,True
10D-AM-1008-05,False,False,False,True
41A-PM-1007-05,False,False,True,True
13E-AM-1017-12,False,True,False,True
15E-AM-1013-02,True,False,False,True
1B-AM-1012-17,False,True,False,True
36I-PM-1007-06,False,True,False,True
15F-AM-1007-08,False,True,False,True
41A-AM-1013-01,False,True,False,False
8I-PM-1013-09,False,True,False,True
19B-AM-1019-01,False,True,True,True
3D-PM-1010-10,False,False,True,True
15C-PM-1017-02,False,False,True,True
32A-PM-1013-09,False,True,False,True
15G-AM-1008-05,False,True,False,True
4D-PM-1008-01,False,False,True,True
36A-PM-1013-06,False,True,False,True
8C-PM-1013-02,False,True,False,True
6A-AM-1006-07,False,True,False,True
41E-AM-1007-01,False,True,False,True
31D-AM-1014-06,False,True,False,True
3A-AM-1012-03,False,False,True,True
39F-AM-1014-04,False,True,False,True
37F-PM-1014-02,False,True,False,True
21A-AM-1019-08,False,True,False,True
16C-AM-1014-02,True,False,False,True
31E-PM-1006-03,False,True,False,False
36D-PM-1007-02,True,True,False,True
23B-PM-1012-01,False,True,False,True
14D-AM-1014-09,False,True,False,True
35G-PM-1006-01,False,False,True,True
35A-PM-1013-08,False,False,True,True
39A-PM-1014-01,False,True,False,True
9C-PM-1006-05,False,False,True,True
17I-AM-1014-04,True,True,False,True
14D-AM-1014-12,True,False,False,True
17I-PM-1017-01,False,False,False,True
39B-PM-1014-01,False,True,False,True
42A-AM-1019-01,False,True,False,True
2E-AM-1010-01,False,True,False,True
14F-AM-1007-02,False,True,False,True
36I-AM-1017-04,False,True,False,True
34B-AM-1013-03,True,False,True,False
36I-AM-1017-07,False,True,False,False
2A-PM-1019-01,False,False,True,False
35D-PM-1013-07,False,True,False,True
29C-AM-1007-02,False,False,True,True
36B-PM-1013-02,True,False,True,True
17B-AM-1010-01,False,True,False,True
30C-AM-1014-02,False,True,False,True
4D-PM-1008-05,False,True,False,True
18C-PM-1018-05,False,True,False,True
11C-PM-1018-01,False,False,True,True
7E-PM-1013-04,False,False,False,True
7G-PM-1018-04,False,False,False,True
39B-PM-1014-02,False,True,False,True
14E-PM-1017-04,False,False,False,True
9F-PM-1014-03,False,True,False,True
2F-PM-1014-03,False,True,False,True
8E-PM-1008-07,False,False,False,True
36F-PM-1012-02,False,True,False,True
8D-PM-1007-01,False,False,False,True
40D-PM-1013-02,False,False,False,True
16E-PM-1018-01,False,True,False,True
2F-PM-1014-08,False,True,False,True
32A-PM-1013-05,False,False,True,True
31D-AM-1014-03,False,False,True,True
17F-AM-1007-02,False,True,False,True
6A-AM-1006-08,False,True,False,True
6F-PM-1008-04,False,False,False,True
2C-AM-1010-08,False,False,False,True
12F-PM-1007-12,False,True,False,False
20B-PM-1013-08,False,False,True,False
11A-PM-1013-05,False,False,False,False
32F-AM-1012-06,False,False,False,True
26I-PM-1010-05,False,True,False,True
21D-PM-1008-05,False,False,False,True
8H-AM-1017-01,False,True,False,True
42G-AM-1018-01,True,False,True,True
9A-AM-1013-02,False,True,False,True
38E-AM-1010-04,False,False,True,True
11H-AM-1010-01,True,False,False,True
11H-PM-1013-01,False,True,False,False
41B-PM-1014-04,False,False,False,True
9H-AM-1006-05,False,True,False,True
10F-PM-1019-10,False,True,False,True
35D-PM-1013-08,False,True,False,True
